Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
YEED,YEED3000,"ID 1615672215630123009",," ","Wed Jan 18 11:27:39 +0000 2023",17,108,44,527,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1615678208942440449/iKf7V2IE_normal.jpg
marco,marco_swg,"ID 717678349166977025",Thailand," bitcoin mining & techno 12"" enthusiast. non-frens / antichrist supporters not welcome.","Wed Apr 06 11:40:27 +0000 2016",172,696,385,7345,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1605901697070645251/j7TjiacA_normal.jpg
🌊✙ᚻᚪᛁᛘᚪᚱᛁᚳᛋ✙⚡️,Haimariks,"ID 1508672004781932549","Utopia, Traditional World"," Kickstarter of the Evolan philosophy|Perennialist|Legalist|NRx|Traditionalist|Ante Pavelic Enjoyer||French Sufist🗿Respecter|Shitposter|Guillotine the Jacobin!","Tue Mar 29 05:06:59 +0000 2022",868,3040,19839,49964,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616598993047556096/70Vc2vno_normal.jpg
♄SUNSHINEKITTYKISSER,SSKITTYKISSER,"ID 1285716449080668160",𓄅," dni","Tue Jul 21 23:21:18 +0000 2020",107,362,427,5980,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1550263245436436481/Y7Wk53iq_normal.jpg
Jurgenfartz,jurgenfartz,"ID 1621396332869984256",," ","Fri Feb 03 06:33:24 +0000 2023",0,54,19,212,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621407264757227528/rhE9k5Ho_normal.jpg
PrideofArchades,PrideofArchades,"ID 1489401627983618048",," ","Fri Feb 04 00:53:28 +0000 2022",15,106,1,8452,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1517008672848637952/C2MWwZgn_normal.jpg
byörg,AverageTurkoman,"ID 1479902923119341568",," ","Sat Jan 08 19:48:51 +0000 2022",32,129,1045,1753,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619539188231159810/XL-KjuoK_normal.jpg
"Good Music Fan",Saortadhg,"ID 814827383890931712","In debt"," Autobiographer.","Fri Dec 30 13:36:01 +0000 2016",4,170,0,40596,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1018456955302506496/9KZaXSd8_normal.jpg
Xelocix,xelocix,"ID 1307666725454848001",," ","Sun Sep 20 13:03:46 +0000 2020",0,962,3,13708,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1314130050690633728/arXeWs3u_normal.jpg
"Paul Rudd",IuRgayLoLI,"ID 1250352084399976451",," Underwear is a scam.  You don't need it.  It doesn't do anything.","Wed Apr 15 09:15:58 +0000 2020",919,1114,28274,112607,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1468477979055562755/JOfcD9jz_normal.jpg
